::1 - - [20/Jun/2024:15:30:40 +0000] "PUT /api/v1/users/updateMe HTTP/1.1" 200 384 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:32:51 +0000] "PUT /api/v1/users/changeMyPassword HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:33:03 +0000] "PUT /api/v1/users/changeMyPassword HTTP/1.1" 422 188 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:36:19 +0000] "GET /api/v1/users HTTP/1.1" 401 63 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:36:48 +0000] "GET /api/v1/users/getMe HTTP/1.1" 401 63 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:37:23 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 77 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:37:41 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:37:58 +0000] "PUT /api/v1/users/changeMyPassword HTTP/1.1" 422 188 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:39:15 +0000] "GET /api/v1/users/getMe HTTP/1.1" 401 63 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:39:20 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:39:24 +0000] "GET /api/v1/users/getMe HTTP/1.1" 200 469 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:39:28 +0000] "GET /api/v1/users HTTP/1.1" 200 471 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:41:19 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:41:43 +0000] "PUT /api/v1/users/updateMe HTTP/1.1" 200 431 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:42:08 +0000] "GET /api/v1/users HTTP/1.1" 200 433 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:47:01 +0000] "POST /api/v1/users HTTP/1.1" 200 248 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:49:09 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 422 165 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:50:00 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 422 165 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:50:19 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 422 165 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:50:40 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 200 312 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:51:25 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 200 312 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:51:31 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 200 313 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:53:24 +0000] "PUT /api/v1/users/66744ef408bdd68bbec5f3d9/changePassword HTTP/1.1" 200 66 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:54:31 +0000] "DELETE /api/v1/users/66744ef408bdd68bbec5f3d9 HTTP/1.1" 200 83 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:54:50 +0000] "POST /api/v1/users HTTP/1.1" 200 248 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:55:32 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:56:04 +0000] "DELETE /api/v1/users/deleteMe HTTP/1.1" 200 83 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:56:37 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 77 "-" "PostmanRuntime/7.39.0"
::1 - - [20/Jun/2024:15:56:51 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:00:50:45 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:00:53:40 +0000] "POST /api/v1/auth/register HTTP/1.1" 200 267 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:00:54:18 +0000] "POST /api/v1/auth/forget-password HTTP/1.1" 200 75 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:00:55:17 +0000] "POST /api/v1/auth/confirm-reset HTTP/1.1" 200 83 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:00:55:42 +0000] "POST /api/v1/auth/reset-password HTTP/1.1" 200 93 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:26:17 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 77 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:26:28 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 703 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:26:37 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 703 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:30:17 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 627 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:31:23 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 626 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:31:46 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 618 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:12:32:42 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 571 "-" "PostmanRuntime/7.39.0"
::1 - - [21/Jun/2024:14:08:09 +0000] "OPTIONS /api/v1/auth/login HTTP/1.1" 204 0 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [21/Jun/2024:14:08:09 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 77 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
